0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/resources/images/product/280.jfif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/resources/images/section/section_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/resources/images/section/section_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/resources/images/section/section_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:00 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:01 +0900] "GET /SemiProject/semi.do?command=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:01 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 11303
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:01 +0900] "GET /SemiProject/resources/js/naverLogin_implicit-1.0.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:01 +0900] "GET /SemiProject/resources/images/naverlogin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:08 +0900] "POST /SemiProject/semi.do HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:09 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 22767
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:09 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:09 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:12 +0900] "GET /SemiProject/semi.do?command=mypage&member_id=test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:14 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 39567
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:18 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&year=2021&month=5&date=15 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:26 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&year=2021&month=5&date=12 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:29 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&year=2021&month=5&date=31 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [03/May/2021:19:29:32 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&year=2021&month=5&date=30 HTTP/1.1" 200 916
0:0:0:0:0:0:0:1 - - [03/May/2021:19:44:44 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 39567
0:0:0:0:0:0:0:1 - - [03/May/2021:19:44:44 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:19:44:48 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [03/May/2021:19:45:27 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 39567
0:0:0:0:0:0:0:1 - - [03/May/2021:19:45:27 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:19:45:31 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [03/May/2021:20:33:37 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 39943
0:0:0:0:0:0:0:1 - - [03/May/2021:20:33:37 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:20:33:39 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [03/May/2021:20:34:02 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 39943
0:0:0:0:0:0:0:1 - - [03/May/2021:20:34:02 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:20:34:04 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [03/May/2021:20:34:19 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [03/May/2021:20:34:26 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&year=2021&month=5&date=6 HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [03/May/2021:20:37:52 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [03/May/2021:20:37:55 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [03/May/2021:20:37:58 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&year=2021&month=5&date=12 HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [03/May/2021:20:38:13 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&year=2021&month=5&date=7 HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [03/May/2021:21:01:55 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 500 22608
0:0:0:0:0:0:0:1 - - [03/May/2021:21:01:59 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [03/May/2021:21:01:59 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:00 +0900] "GET /SemiProject/semi.do?command=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:00 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 22613
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:00 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:00 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:02 +0900] "GET /SemiProject/semi.do?command=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:02 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 11303
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:11 +0900] "POST /SemiProject/semi.do HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:12 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 22767
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:12 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:12 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:15 +0900] "GET /SemiProject/semi.do?command=mypage&member_id=test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:17 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 40507
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:25 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [03/May/2021:21:02:28 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:27 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:27 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:27 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/css/head.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/css/elegant-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/css/slicknav.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/js/jquery.nice-select.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/js/mixitup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/js/jquery.magnific-popup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/js/jquery.nicescroll.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/js/jquery.slicknav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/images/logo/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:30 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:32 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 40719
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:32 +0900] "GET /SemiProject/resources/images/female.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:32 +0900] "GET /SemiProject/resources/images/male.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:32 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:21:58:35 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [03/May/2021:22:22:14 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [03/May/2021:22:24:24 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 40719
0:0:0:0:0:0:0:1 - - [03/May/2021:22:24:24 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:22:24:27 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [03/May/2021:22:29:59 +0900] "GET /SemiProject/semi.do?command=popup_r_check&member_id=test HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [03/May/2021:22:30:14 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [03/May/2021:22:30:23 +0900] "GET /SemiProject/semi.do?command=popup_calList&member_id=test&year=2021&month=5&date=14 HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [03/May/2021:22:30:30 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [03/May/2021:22:33:22 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 40719
0:0:0:0:0:0:0:1 - - [03/May/2021:22:33:22 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:22:33:25 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 8063
0:0:0:0:0:0:0:1 - - [03/May/2021:22:35:28 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 40719
0:0:0:0:0:0:0:1 - - [03/May/2021:22:35:28 +0900] "GET /SemiProject/resources/images/logo/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [03/May/2021:22:35:30 +0900] "GET /SemiProject/semi.do?command=popup_private&member_id=test HTTP/1.1" 200 6759
0:0:0:0:0:0:0:1 - - [03/May/2021:22:36:42 +0900] "GET /SemiProject/mypage.jsp HTTP/1.1" 200 40719
