0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:23:37 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:23:37 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 871
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:23:37 +0900] "GET /SemiProject/resources/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 870
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:25:18 +0900] "GET /SemiProject/semi.do?command=board_dec HTTP/1.1" 200 5745
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:05 +0900] "GET /SemiProject/semi.do?command=board_free HTTP/1.1" 200 12841
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:05 +0900] "GET /SemiProject/resources/css/board_1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:05 +0900] "GET /SemiProject/resources/css/board_3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:05 +0900] "GET /SemiProject/resources/css/board_2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:05 +0900] "GET /SemiProject/resources/css/search.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:09 +0900] "GET /SemiProject/semi.do?command=board_notice HTTP/1.1" 200 8175
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:14 +0900] "GET /SemiProject/semi.do?command=login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:14 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 11163
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:27 +0900] "POST /SemiProject/semi.do HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:28 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 22964
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:28 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.woff HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:28 +0900] "GET /SemiProject/resources/fonts/ElegantIcons.ttf HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:39 +0900] "GET /SemiProject/semi.do?command=board_dec HTTP/1.1" 200 5984
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:41 +0900] "GET /SemiProject/semi.do?command=lost_insertform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:26:41 +0900] "GET /SemiProject/lost_insertform.jsp HTTP/1.1" 200 9055
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:27:56 +0900] "GET /SemiProject/semi.do?command=board_dec HTTP/1.1" 200 5984
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:27:58 +0900] "GET /SemiProject/semi.do?command=lost_insertform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:27:58 +0900] "GET /SemiProject/lost_insertform.jsp HTTP/1.1" 200 9112
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:28:58 +0900] "POST /SemiProject/semi.do HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:29:01 +0900] "GET /SemiProject/semi.do?command=board_dec HTTP/1.1" 200 6165
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:29:09 +0900] "GET /SemiProject/semi.do?command=lost_detail&board_no=173 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:29:58 +0900] "GET /SemiProject/semi.do?command=lost_detail&board_no=173 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:20:30:34 +0900] "GET /SemiProject/semi.do?command=lost_detail&board_no=173 HTTP/1.1" 200 -
